,Item Number,Price,Price Effective Date,Price End Date
0,1000,2024.0,2023-01-01,
1,1001,20877.0,2023-01-01,
2,1002,8790.0,2023-01-01,
3,1003,29079.0,2023-01-01,
4,1004,10768.0,2023-01-01,
5,1005,43445.0,2023-01-01,
6,1006,26115.0,2023-01-01,
7,1007,70836.0,2023-01-01,
8,1008,26904.0,2023-01-01,
9,1009,15134.0,2023-01-01,2024-09-15
10,1010,4459.0,2023-01-01,
11,1011,36896.0,2023-01-01,
12,1012,26600.0,2023-01-01,
13,1013,21509.0,2023-01-01,
14,1014,38450.0,2023-01-01,
15,1015,69.0,2023-01-01,
16,1016,54896.0,2023-01-01,
17,1017,8846.0,2023-01-01,
18,1018,6794.0,2023-01-01,
19,1019,73133.0,2023-01-01,
20,1020,73257.0,2023-01-01,
21,1021,37262.0,2023-01-01,
22,1022,603.0,2023-01-01,
23,1023,50616.0,2023-01-01,
24,1024,23439.0,2023-01-01,
25,1025,56272.0,2023-01-01,
26,1026,145.0,2023-01-01,
27,1027,9376.0,2023-01-01,
28,1028,30278.0,2023-01-01,
29,1029,31042.0,2023-01-01,
30,1030,42117.0,2023-01-01,
31,1031,2302.0,2023-01-01,
32,1032,52308.0,2023-01-01,
33,1033,3560.0,2023-01-01,
34,1034,51925.0,2023-01-01,
35,1035,29666.0,2023-01-01,
36,1036,62683.0,2023-01-01,
37,1037,31154.0,2023-01-01,
38,1038,4992.0,2023-01-01,
39,1039,47731.0,2023-01-01,
40,1040,15092.0,2023-01-01,
41,1041,23970.0,2023-01-01,
42,1042,19058.0,2023-01-01,
43,1043,23613.0,2023-01-01,
44,1044,71952.0,2023-01-01,
45,1045,33533.0,2023-01-01,
46,1046,68629.0,2023-01-01,
47,1047,48253.0,2023-01-01,
48,1048,23500.0,2023-01-01,
49,1049,17068.0,2023-01-01,
50,1050,8538.0,2023-01-01,
51,1051,51771.0,2023-01-01,
52,1052,52668.0,2023-01-01,
53,1053,51878.0,2023-01-01,
54,1054,18353.0,2023-01-01,
55,1055,11728.0,2023-01-01,
56,1056,286.0,2023-01-01,
57,1057,14421.0,2023-01-01,
58,1058,27364.0,2023-01-01,
59,1059,45367.0,2023-01-01,
60,1060,7015.0,2023-01-01,
61,1061,45041.0,2023-01-01,
62,1062,45735.0,2023-01-01,2024-08-07
63,1063,57172.0,2023-01-01,
64,1064,25787.0,2023-01-01,
65,1065,53942.0,2023-01-01,
66,1066,11586.0,2023-01-01,
67,1067,27269.0,2023-01-01,
68,1068,8165.0,2023-01-01,
69,1069,21235.0,2023-01-01,
70,1070,69155.0,2023-01-01,
71,1071,64601.0,2023-01-01,
72,1072,67528.0,2023-01-01,
73,1073,69512.0,2023-01-01,
74,1074,18753.0,2023-01-01,
75,1075,24962.0,2023-01-01,
76,1076,60433.0,2023-01-01,
77,1077,13346.0,2023-01-01,
78,1078,36422.0,2023-01-01,
79,1079,63133.0,2023-01-01,
80,1080,20825.0,2023-01-01,
81,1081,63962.0,2023-01-01,
82,1082,41892.0,2023-01-01,
83,1083,33507.0,2023-01-01,
84,1084,16981.0,2023-01-01,
85,1085,21068.0,2023-01-01,
86,1086,4253.0,2023-01-01,
87,1087,40550.0,2023-01-01,
88,1088,37008.0,2023-01-01,
89,1089,45681.0,2023-01-01,
90,1090,68645.0,2023-01-01,
91,1091,31635.0,2023-01-01,
92,1092,27619.0,2023-01-01,
93,1093,39041.0,2023-01-01,
94,1094,5980.0,2023-01-01,2023-05-15
95,1095,5411.0,2023-01-01,
96,1096,11686.0,2023-01-01,
97,1097,18777.0,2023-01-01,
98,1098,22342.0,2023-01-01,
